fecha,afluencia
2013-02-07,5209484
2013-02-08,5418351
2013-02-09,4178634
2013-02-10,2724860
2013-02-11,5052485
2013-02-12,5134085
2013-02-13,5285059
2013-02-14,5316135
2013-02-15,5387549
2013-02-16,4319371
2013-02-17,2706433
2013-02-18,5123155
2013-02-19,5154414
2013-02-20,5260282
2013-02-21,5335410
2013-02-22,5392927
2013-02-23,4289157
2013-02-24,2739068
2013-02-25,5058421
2013-02-26,5160610
2013-02-27,5169970
2013-02-28,5327931
2013-03-01,5554976
2013-03-02,4403590
2013-03-03,2849749
2013-03-04,5041239
2013-03-05,5260915
2013-03-06,5266869
2013-03-07,5263688
2013-03-08,5357000
2013-03-09,4257058
2013-03-10,2727919
2013-03-11,4990073
2013-03-12,5162257
2013-03-13,5186726
2013-03-14,5189121
2013-03-15,5358999
2013-03-16,4267967
2013-03-17,2733101
2013-03-18,2962245
2013-03-19,5053648
2013-03-20,5229481
2013-03-21,5263986
2013-03-22,5352230
2013-03-23,4083698
2013-03-24,2659842
2013-03-25,4473241
2013-03-26,4529144
2013-03-27,4590703
2013-03-28,3193369
2013-03-29,2197861
2013-03-30,2559934
2013-03-31,2250576
2013-04-01,4815337
2013-04-02,5007491
2013-04-03,5179450
2013-04-04,5138723
2013-04-05,5259076
2013-04-06,4127605
2013-04-07,2613556
2013-04-08,4979271
2013-04-09,5133813
2013-04-10,5195610
2013-04-11,5284779
2013-04-12,5301132
2013-04-13,4278153
2013-04-14,2709128
2013-04-15,5104603
2013-04-16,5186390
2013-04-17,5248920
2013-04-18,5246543
2013-04-19,5385892
2013-04-20,4209661
2013-04-21,2683453
2013-04-22,5040126
2013-04-23,5091683
2013-04-24,5182940
2013-04-25,5264460
2013-04-26,5281066
2013-04-27,4213633
2013-04-28,2771920
2013-04-29,5113458
2013-04-30,5176517
2013-05-01,3263215
2013-05-02,5189463
2013-05-03,5382640
2013-05-04,4151863
2013-05-05,2675412
2013-05-06,4933943
2013-05-07,5159213
2013-05-08,5238128
